 Timestamp_formatted, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other.1, Other.2, Other.3, Other.4, Other.5, Other.6, Analog Channel 0, Analog Channel 1, Analog Channel 2, Other.7
 2023-06-24 15:04:56.274,-75009.97335,36037.58347,8466.192599,32812.71849,25635.6404,-50538.68002,19751.87895,-64569.92055,-0.016,0.09,-0.992,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75320.26026,36569.39853,9029.098931,33224.2141,26187.43791,-51324.16503,20304.30231,-65097.66759,-0.016,0.09,-0.992,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75404.88397,38091.59703,10559.34406,34681.41373,27714.84437,-52598.21446,21824.93619,-65924.65978,-0.016,0.09,-0.992,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75135.81367,38582.5531,11021.84636,35250.89148,28180.9453,-52655.65844,22290.45597,-65942.27295,-0.018,0.096,-0.99,192,255,112,3,0,225,16,0,0,0,0
 2023-06-24 15:04:56.274,-74867.101,37246.41052,9654.120762,34037.19175,26819.14292,-51360.10663,20942.914,-65080.85907,-0.018,0.096,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-74980.87138,36030.8556,8450.993413,32815.28894,25624.88921,-50541.02695,19747.90034,-64565.51725,-0.018,0.096,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75293.08054,36556.52393,9014.883222,33215.38516,26169.73533,-51316.63249,20284.96805,-65088.74924,-0.018,0.096,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75384.02979,38049.70986,10519.82618,34638.96777,27663.23419,-52593.90057,21773.99656,-65919.87651,-0.018,0.096,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75118.51342,38515.81079,10955.26051,35182.89747,28104.59174,-52664.93442,22227.06642,-65949.82784,-0.018,0.096,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-74838.46841,37235.63698,9647.929328,34020.495,26796.09827,-51367.12508,20933.9286,-65087.47519,-0.018,0.096,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-74949.40012,36023.05484,8453.295643,32781.06842,25603.00685,-50535.08139,19753.53298,-64561.78451,-0.018,0.096,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75256.89307,36571.45489,9033.256356,33210.22191,26177.08906,-51299.5334,20320.44027,-65074.89116,-0.018,0.096,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75351.79858,38055.05193,10525.59293,34643.68399,27668.82213,-52583.12703,21794.87309,-65910.62288,-0.018,0.096,-0.99,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75087.69036,38551.26066,10993.48199,35226.72924,28145.83071,-52665.13558,22268.3501,-65945.62572,-0.022,0.1,-0.988,192,255,80,3,32,225,32,0,0,0,0
 2023-06-24 15:04:56.274,-74813.45681,37226.94215,9642.207282,34026.68643,26799.7416,-51380.89375,20924.22794,-65092.23611,-0.022,0.1,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-74920.52167,36016.46108,8446.746581,32794.2336,25600.27994,-50537.04834,19734.19872,-64557.73885,-0.022,0.1,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75226.22648,36560.48018,9022.304001,33217.75445,26164.01329,-51289.36336,20297.35092,-65063.78234,-0.022,0.1,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75336.44293,37950.04343,10419.28803,34554.61229,27563.70188,-52585.29515,21699.58761,-65909.37119,-0.022,0.1,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75079.53198,38433.77989,10875.88947,35118.05506,28033.73671,-52682.637,22173.66811,-65954.58877,-0.022,0.1,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-74788.93695,37207.36202,9619.341447,34021.25496,26793.77369,-51392.33785,20919.2435,-65097.35466,-0.022,0.1,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-74888.78219,35985.95095,8409.799148,32801.07323,25595.96605,-50535.2602,19719.53597,-64556.15187,-0.022,0.1,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75198.62207,36485.7136,8943.402343,33182.88573,26124.40599,-51283.88718,20245.71839,-65060.38488,-0.022,0.1,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75299.80842,37962.71687,10429.59218,34580.96499,27598.95058,-52571.54883,21721.29115,-65897.65887,-0.022,0.1,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75037.53305,38490.2851,10931.99234,35167.20655,28093.88525,-52673.80806,22226.39587,-65946.0951,-0.024,0.096,-0.988,192,255,64,3,0,225,32,0,0,0,0
 2023-06-24 15:04:56.274,-74746.51334,37251.3279,9662.994404,34051.60863,26830.89993,-51391.93551,20972.99945,-65094.76186,-0.024,0.096,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-74831.60643,36064.89731,8491.561829,32862.04879,25668.11748,-50514.40603,19805.36667,-64538.89633,-0.024,0.096,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75130.80688,36581.96021,9032.854025,33266.14598,26211.75661,-51248.79494,20339.90864,-65034.76978,-0.024,0.096,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-75230.71918,38040.79152,10499.17316,34650.97066,27669.09035,-52544.39146,21797.93528,-65880.35862,-0.024,0.096,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-74966.02982,38584.72122,11024.39446,35257.21702,28187.80728,-52658.49711,22316.11577,-65938.51786,-0.024,0.096,-0.988,192,0,0,0,0,0,0,0,0,0,0
 2023-06-24 15:04:56.274,-74671.38912,37356.93989,9772.160324,34159.12052,26940.62465,-51384.38062,21054.13628,-65094.0466,-0.024,0.096,-0.988,192,0,0,0,0,0,0,0,0,0,0
